url,marca,nombre,genero (desde el titulo),acordes_principales,rating,piramide_olfativa
https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,,XJ 1861 Naxos Xerjoff,for women and men,"['citrus', 'vanilla', 'lavender', 'powdery', 'honey', 'aromatic', 'tobacco', 'floral', 'sweet', 'warm spicy']",4.5,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Tobacco Leaf', 'Vanilla', 'Tonka Bean']}"
https://www.fragrantica.es/perfume/Annayake/Hanami-107.html,,Hanami Annayake,Mujeres,"['florales', 'floral blanco', 'fresco', 'rosas', 'atalcado']",3.91,"{'notas_de_salida': ['violeta', 'ciclamen (violeta persa)'], 'notas_de_corazon': ['peonía', 'flor del cerezo', 'jazmín'], 'notas_de_base': ['almizcle', 'sándalo']}"
https://www.fragrantica.es/perfume/Bvlgari/Omnia-151.html,,Omnia Bvlgari,Mujeres,"['cálido especiado', 'amaderado', 'fresco especiado', 'dulce']",4.05,"{'notas_de_salida': ['jengibre', 'cardamomo', 'pimienta', 'azafrán', 'mandarina'], 'notas_de_corazon': ['té masala chai', 'nuez moscada', 'canela', 'almendra', 'clavos de olor', 'flor de loto'], 'notas_de_base': ['chocolate blanco', 'sándalo', 'notas amaderadas', 'haba tonka', 'madera de gaiac']}"
https://www.fragrantica.es/perfume/Elizabeth-Arden/Eau-Fraiche-90.html,,Eau Fraiche Elizabeth Arden,Mujeres,"['cítrico', 'pachulí', 'floral blanco', 'Floral amarillo', 'aromático', 'verde', 'cálido especiado', 'amaderado', 'iris', 'fresco especiado']",3.99,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': []}"
https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,,Bleu de Chanel Eau de Parfum Chanel,for men,"['citrus', 'woody', 'balsamic', 'powdery', 'smoky', 'aromatic', 'fresh', 'amber', 'warm spicy', 'fresh spicy']",4.42,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Incense', 'Amber', 'Cedar', 'Sandalwood', 'Patchouli', 'Amberwood', 'Labdanum']}"
https://www.fragrantica.es/perfume/Hermes/Caleche-Eau-Delicate-24.html,,Caleche Eau Delicate Hermès,Mujeres,"['floral blanco', 'fresco', 'Floral amarillo', 'atalcado', 'aldehídico', 'amaderado', 'dulce']",4.13,"{'notas_de_salida': ['aldehídos', 'ylang-ylang'], 'notas_de_corazon': ['jazmín', 'rosa'], 'notas_de_base': ['cedro', 'sándalo']}"
https://www.fragrantica.es/perfume/Boucheron/Boucheron-133.html,,Boucheron Boucheron,Mujeres,"['cítrico', 'floral blanco', 'animálico', 'Floral amarillo', 'aromático', 'atalcado', 'ámbar', 'amaderado', 'dulce', 'fresco especiado']",4.11,"{'notas_de_salida': ['cempasúchil (tagete, clavelón)', 'naranja', 'naranja tangerina', 'naranja amarga', 'chabacano', 'albahaca', 'asafétida', 'casia', 'limón (lima ácida)', 'bergamota'], 'notas_de_corazon': ['nardos', 'ylang-ylang de Madagascar', 'flor de azahar del naranjo', 'jazmín', 'narciso', 'geranio', 'raíz de lirio', 'cedro', 'genista', 'lirio de los valles (muguete)'], 'notas_de_base': ['ámbar', 'algalia (civet)', 'sándalo', 'benjuí', 'vainilla de la India', 'musgo de roble', 'haba tonka', 'almizcle']}"
https://www.fragrantica.es/perfume/Hermes/Hiris-20.html,,Hiris Hermès,Mujeres,"['florales', 'aromático', 'atalcado', 'amaderado', 'terrosos', 'violeta', 'iris']",4.19,"{'notas_de_salida': ['iris', 'cilantro', 'clavel', 'ámbar'], 'notas_de_corazon': ['iris', 'neroli', 'rosa'], 'notas_de_base': ['cedro', 'árbol del almendro', 'miel', 'vainilla']}"
https://www.fragrantica.es/perfume/Tom-Ford/Fucking-Fabulous-46513.html#cc222148,,Fucking Fabulous Tom Ford,Hombres y Mujeres,"['lavanda', 'cuero', 'almendrado', 'animálico', 'aromático', 'atalcado', 'ámbar', 'amaderado', 'dulce', 'avainillado']",3.8,"{'notas_de_salida': ['lavanda', 'esclarea'], 'notas_de_corazon': ['cuero', 'almendra amarga', 'vainilla', 'raíz de lirio'], 'notas_de_base': ['cuero', 'haba tonka', 'cachemira', 'maderas blancas', 'ámbar']}"
https://www.fragrantica.es/perfume/Bvlgari/BLV-Notte-Pour-Femme-149.html,,BLV Notte Pour Femme Bvlgari,Mujeres,"['chocolate', 'vodka', 'balsámico', 'atalcado', 'cálido especiado', 'ámbar', 'amaderado', 'dulce', 'iris', 'almizclado']",4.16,"{'notas_de_salida': ['jengibre', 'galanga', 'anís', 'bergamota', 'mandarina'], 'notas_de_corazon': ['vodka', 'iris', 'acacia negra (robinia)'], 'notas_de_base': ['chocolate oscuro', 'incienso', 'almizcle', 'sándalo', 'ámbar', 'ládano']}"
https://www.fragrantica.com/perfume/Afnan/9pm-65414.html,,9pm Afnan,for men,"['vanilla', 'lavender', 'powdery', 'cinnamon', 'aromatic', 'fresh', 'amber', 'warm spicy', 'sweet', 'fruity']",4.44,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Vanilla', 'Tonka Bean', 'Amber', 'Patchouli']}"
https://www.fragrantica.es/perfume/Elizabeth-Arden/5th-Avenue-81.html,,5th Avenue Elizabeth Arden,Mujeres,"['cítrico', 'florales', 'floral blanco', 'fresco', 'Floral amarillo', 'verde', 'atalcado', 'dulce']",3.86,"{'notas_de_salida': ['flor del tilo', 'lirio de los valles (muguete)', 'lila', 'magnolia', 'bergamota', 'mandarina'], 'notas_de_corazon': ['jazmín', 'nardos', 'ylang-ylang', 'rosa de Bulgaria (rosa Damascena de Bulgaria)', 'durazno (melocotón)', 'violeta', 'clavel', 'nuez moscada'], 'notas_de_base': ['almizcle', 'iris', 'sándalo', 'ámbar', 'vainilla', 'clavos de olor']}"
https://www.fragrantica.es/perfume/Blumarine/Vintage-140.html,,Vintage Blumarine,Mujeres,"['cítrico', 'florales', 'fresco', 'aromático', 'rosas', 'acuático', 'atalcado', 'amaderado', 'fresco especiado', 'almizclado']",3.54,"{'notas_de_salida': ['bergamota', 'limón (lima ácida)', 'durazno (melocotón)'], 'notas_de_corazon': ['peonía', 'nenúfar (lirio de agua)', 'rosa', 'azucena', 'jazmín'], 'notas_de_base': ['sándalo', 'almizcle', 'ámbar', 'iris']}"
https://www.fragrantica.es/perfume/Bvlgari/BLV-Pour-Homme-148.html,,BLV Pour Homme Bvlgari,Hombres,"['floral blanco', 'fresco', 'balsámico', 'aromático', 'verde', 'cálido especiado', 'amaderado', 'fresco especiado']",4.04,"{'notas_de_salida': ['cardamomo', 'sándalo'], 'notas_de_corazon': ['jengibre', 'enebro de Virginia', 'galanga'], 'notas_de_base': ['flor del tabaco', 'hojas verdes', 'madera de teca']}"
https://www.fragrantica.es/perfume/Blumarine/Blumarine-II-139.html,,Blumarine II Blumarine,Mujeres,"['florales', 'balsámico', 'Floral amarillo', 'verde', 'rosas', 'atalcado', 'amaderado', 'dulce', 'ozónico', 'almizclado']",3.91,"{'notas_de_salida': ['flor de loto', 'palo de rosa de Brasil', 'hiedra'], 'notas_de_corazon': ['orquídea', 'ylang-ylang', 'rosa'], 'notas_de_base': ['sándalo', 'almizcle blanco', 'ládano', 'cedro']}"
https://www.fragrantica.es/perfume/Hermes/Parfum-des-Merveilles-10.html,,Parfum des Merveilles Hermès,Mujeres,"['pachulí', 'balsámico', 'cálido especiado', 'ámbar', 'amaderado', 'terrosos', 'musgoso']",4.34,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': []}"
https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,,Layton Parfums de Marly,for women and men,"['citrus', 'woody', 'vanilla', 'powdery', 'lavender', 'aromatic', 'fruity', 'fresh', 'warm spicy', 'fresh spicy']",4.45,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Vanilla', 'Cardamom', 'Sandalwood', 'Pepper', 'Guaiac Wood', 'Patchouli']}"
https://www.fragrantica.es/perfume/Hermes/Un-Jardin-en-Mediterranee-19.html,,Un Jardin en Méditerranée Hermès,Hombres y Mujeres,"['cítrico', 'florales', 'floral blanco', 'fresco', 'aromático', 'verde', 'amaderado', 'dulce', 'fresco especiado']",4.16,"{'notas_de_salida': ['bergamota', 'limón (lima ácida)', 'mandarina'], 'notas_de_corazon': ['flor de azahar del naranjo', 'flor de la adelfa blanca'], 'notas_de_base': ['hojas de higuera', 'ciprés', 'cedro rojo japonés', 'enebro de Virginia', 'pistacho (pistache)', 'almizcle']}"
https://www.fragrantica.es/perfume/Kenzo/Parfum-d-Ete-2002-80.html,,Parfum d'Ete 2002 Kenzo,Mujeres,"['floral blanco', 'florales', 'fresco', 'rosas', 'verde', 'fresco especiado']",3.97,"{'notas_de_salida': ['lirio de los valles (muguete)', 'notas verdes'], 'notas_de_corazon': ['jacinto', 'jazmín', 'peonía'], 'notas_de_base': ['almizcle blanco', 'sándalo']}"
https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html,,Devotion Dolce&Gabbana,for women,"['white floral', 'rum', 'citrus', 'vanilla', 'powdery', 'lactonic', 'sweet']",4.02,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Vanilla']}"
https://www.fragrantica.es/perfume/Elizabeth-Arden/Provocative-Woman-84.html,,Provocative Woman Elizabeth Arden,Mujeres,"['afrutados', 'florales', 'fresco', 'aromático', 'acuático', 'atalcado', 'amaderado', 'ámbar', 'dulce', 'fresco especiado']",3.56,"{'notas_de_salida': ['membrillo', 'jengibre', 'flor de loto', 'frambuesa', 'durazno (melocotón)'], 'notas_de_corazon': ['orquídea', 'fresia rosa', 'chabacano', 'papaya'], 'notas_de_base': ['sándalo', 'ámbar', 'madera de ciprés hinoki', 'ámbar rojo', 'té Blanco', 'cedro']}"
https://www.fragrantica.es/perfume/Kenzo/Kenzo-Jungle-Homme-71.html,,Kenzo Jungle Homme Kenzo,Hombres,"['cítrico', 'florales', 'aromático', 'atalcado', 'cálido especiado', 'amaderado', 'ámbar', 'canela', 'fresco especiado']",4.18,"{'notas_de_salida': ['canela', 'lima (limón verde)', 'bergamota', 'limón (lima ácida)'], 'notas_de_corazon': ['nuez moscada', 'cardamomo', 'pimienta', 'yerba mate', 'clavel', 'ámbar'], 'notas_de_base': ['madera de gaiac', 'sándalo', 'cedro', 'benjuí', 'vetiver']}"
https://www.fragrantica.es/perfume/Guerlain/Guerlain-Chant-d-Aromes-48.html,,Guerlain Chant d'Aromes Guerlain,Mujeres,"['afrutados', 'floral blanco', 'fresco', 'Floral amarillo', 'atalcado', 'cálido especiado', 'aldehídico', 'amaderado', 'ámbar', 'avainillado']",4.17,"{'notas_de_salida': ['aldehídos', 'gardenia', 'cítricos', 'ciruela'], 'notas_de_corazon': ['madreselva', 'jazmín', 'ylang-ylang', 'clavo de olor'], 'notas_de_base': ['heliotropo', 'vetiver', 'sándalo', 'incienso de olíbano (franquincienso)', 'benjuí', 'vainilla']}"
https://www.fragrantica.es/perfume/Bvlgari/BLV-Notte-Pour-Homme-150.html,,BLV Notte Pour Homme Bvlgari,Hombres,"['lavanda', 'chocolate', 'floral blanco', 'anís', 'aromático', 'verde', 'cálido especiado', 'amaderado', 'dulce', 'fresco especiado']",4.0,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': []}"
https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,,By the Fireplace Maison Martin Margiela,for women and men,"['woody', 'balsamic', 'vanilla', 'powdery', 'soft spicy', 'musky', 'amber', 'warm spicy', 'sweet', 'nutty']",4.23,"{'notas_de_salida': [], 'notas_de_corazon': [], 'notas_de_base': ['Vanilla', 'Peru Balsam', 'Cashmeran']}"
https://www.fragrantica.es/perfume/Guerlain/Chamade-50.html,,Chamade Guerlain,Mujeres,"['florales', 'floral blanco', 'fresco', 'balsámico', 'aromático', 'rosas', 'verde', 'cálido especiado', 'aldehídico', 'ámbar']",4.24,"{'notas_de_salida': ['jacinto', 'aldehídos', 'rosa', 'jazmín', 'bergamota'], 'notas_de_corazon': ['gálbano', 'rosa', 'lila', 'jazmín', 'lirio de los valles (muguete)', 'clavos de olor'], 'notas_de_base': ['bálsamo de Tolú', 'benjuí', 'bálsamo del Perú', 'ámbar', 'vetiver', 'vainilla', 'sándalo']}"
https://www.fragrantica.es/perfume/Givenchy/Amarige-3.html,,Amarige Givenchy,Mujeres,"['afrutados', 'floral blanco', 'florales', 'animálico', 'Floral amarillo', 'verde', 'atalcado', 'amaderado', 'nardos', 'dulce']",3.89,"{'notas_de_salida': ['flor de azahar del naranjo', 'durazno (melocotón)', 'ciruela', 'neroli', 'palo de rosa de Brasil', 'violeta', 'mandarina'], 'notas_de_corazon': ['nardos', 'mimosa', 'gardenia', 'ylang-ylang', 'jazmín', 'acacia negra (robinia)', 'clavel', 'grosellas negras', 'bayas rojas', 'casia', 'rosa', 'orquídea'], 'notas_de_base': ['sándalo', 'ámbar', 'notas amaderadas', 'vainilla', 'almizcle', 'haba tonka', 'cedro']}"
https://www.fragrantica.es/perfume/Guerlain/Love-is-All-45.html,,Love is All Guerlain,Mujeres,"['cítrico', 'afrutados', 'florales', 'floral blanco', 'tropical', 'Floral amarillo', 'atalcado', 'dulce', 'iris', 'almizclado']",3.93,"{'notas_de_salida': ['maracuyá (fruta de la pasión)', 'mandarina', 'pimienta rosa'], 'notas_de_corazon': ['mimosa', 'iris', 'fresia', 'flor de azahar del naranjo', 'neroli'], 'notas_de_base': ['almizcle', 'vainilla', 'nuez moscada', 'notas amaderadas', 'ámbar']}"
https://www.fragrantica.es/perfume/Givenchy/Very-Irresistible-33.html,,Very Irresistible Givenchy,Mujeres,"['cítrico', 'florales', 'fresco', 'aromático', 'rosas']",3.89,"{'notas_de_salida': ['casia', 'cedrón (hierba luisa, verbena de olor)', 'anís estrellado'], 'notas_de_corazon': ['rosa', 'peonía', 'magnolia'], 'notas_de_base': ['rosa de Taif', 'almizcle', 'vainilla', 'pachulí']}"
https://www.fragrantica.es/perfume/Byblos/Byblos-131.html,,Byblos Byblos,Mujeres,"['afrutados', 'floral blanco', 'florales', 'fresco', 'Floral amarillo', 'aromático', 'verde', 'atalcado', 'amaderado', 'dulce']",3.92,"{'notas_de_salida': ['maracuyá (fruta de la pasión)', 'piña', 'grosellas negras', 'casia', 'durazno (melocotón)', 'caléndula', 'toronja (pomelo)', 'bergamota', 'mandarina'], 'notas_de_corazon': ['mimosa', 'madreselva', 'jazmín', 'gardenia', 'heliotropo', 'violeta', 'lirio de los valles (muguete)', 'ylang-ylang', 'azucena', 'orquídea', 'iris', 'rosa', 'raíz de lirio'], 'notas_de_base': ['frambuesa', 'pimienta', 'vetiver', 'almizcle']}"
https://www.fragrantica.es/perfume/Guerlain/Jicky-103.html,,Jicky Guerlain,Mujeres,"['cítrico', 'lavanda', 'aromático', 'atalcado', 'cálido especiado', 'amaderado', 'ámbar', 'dulce', 'avainillado', 'fresco especiado']",4.16,"{'notas_de_salida': ['romero', 'bergamota', 'limón (lima ácida)', 'mandarina'], 'notas_de_corazon': ['lavanda', 'haba tonka', 'raíz de lirio', 'albahaca', 'jazmín'], 'notas_de_base': ['vainilla', 'cuero', 'especias', 'benjuí', 'sándalo', 'ámbar', 'palo de rosa de Brasil']}"
